Provincia,Departamento,Cant_EE,Cant_BP,Poblacion
Buenos Aires,Capitan Sarmiento,37,1,15882
Misiones,Concepcion,37,1,10303
La Pampa,Conhelo,36,5,15094
Río Negro,Pilcaniyeu,36,2,9309
Salta,Cerrillos,36,2,55713
Buenos Aires,Maipu,36,1,11253
Salta,Iruya,36,,6116
Catamarca,Paclin,35,2,4696
Buenos Aires,Punta Indio,35,1,12161
Catamarca,Ambato,35,1,5087
Chubut,Gaiman,34,3,12505
Jujuy,Tilcara,34,1,14621
Santiago del Estero,Silipica,34,,9766
Chaco,2 De Abril,33,1,8310
Mendoza,La Paz,33,,12018
La Pampa,Chapaleufu,32,5,12277
Catamarca,Fray Mamerto Esquiu,32,4,14624
Jujuy,Santa Barbara,32,2,20497
Río Negro,El Cuy,32,2,6960
San Luis,Gobernador Dupuy,32,2,14334
Buenos Aires,Castelli,32,1,9551
Buenos Aires,Pila,32,,4615
Corrientes,Mburucuya,32,,11541
Santa Cruz,Lago Argentino,31,1,25384
Buenos Aires,Florentino Ameghino,31,,10759
Salta,Chicoana,31,,24715
La Pampa,Atreuco,30,5,11053
Salta,San Carlos,30,1,7779
Chaco,General Belgrano,29,1,12807
La Rioja,General Angel V Peñaloza,29,1,3184
La Pampa,Loventue,28,3,9243
Buenos Aires,General Lavalle,28,1,4846
Buenos Aires,Hipolito Yrigoyen,28,1,10581
Corrientes,Itati,28,1,11946
Río Negro,Pichi Mahuida,28,1,16493
Buenos Aires,Lezama,27,,6170
Río Negro,9 De Julio,27,,3682
Santiago del Estero,Sarmiento,27,,5034
Buenos Aires,San Cayetano,26,2,8918
Neuquén,Ñorquin,26,2,5572
Buenos Aires,Tres Lomas,26,1,9090
Chubut,Rio Senguer,26,1,6347
Chubut,Sarmiento,26,1,14477
Neuquén,Añelo,26,1,18150
Neuquén,Los Lagos,26,1,15502
Santiago del Estero,Rivadavia,26,1,5314
La Pampa,Puelen,26,,11636
Salta,Cachi,26,,8928
Corrientes,General Alvear,25,1,9051
Córdoba,Sobremonte,25,,4381
Jujuy,Santa Catalina,25,,2641
Santiago del Estero,Aguirre,25,,8959
La Pampa,Guatrache,24,5,9397
La Pampa,Quemu Quemu,24,4,8404
Jujuy,Tumbaya,24,2,5298
Neuquén,Picunches,24,1,8471
Río Negro,Valcheta,24,1,4300
Salta,Molinos,24,1,5808
Santiago del Estero,Belgrano,24,1,10809
Río Negro,Conesa,23,1,7398
Salta,Cafayate,23,1,17822
Chaco,Tapenaga,23,,4051
Río Negro,Ñorquinco,22,2,1452
Buenos Aires,General Guido,22,1,3157
Buenos Aires,Pellegrini,22,1,7112
Buenos Aires,Salliquelo,22,,9344
La Pampa,Toay,21,1,17927
La Rioja,San Blas De Los Sauces,21,1,4306
